"Opportunity ID";"Stage Before Lost";"Created Date";"Interest";"Campus extended";"Country Aggregate";"Stage";"Last Click Channel";"Drop";"Person Account: Gender";"Close Date"
"0065J00000BQuFP";"Technical Interview";"6/05/2022";"WDFT";"BCN - Spain";"Spain";"Closed lost";"Direct";"0";"Male";"26/05/2022"
"0065J00000DOq88";"Personal Interview";"10/05/2023";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"";"29/05/2023"
"0065J00000Cd5Uo";"Student Agreement";"25/01/2023";"WDPT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"7/02/2023"
"0065J00000BR0ic";"";"11/05/2022";"DAFT";"BCN - Spain";"Spain";"Paid Deposit";"";"0";"Male";"20/05/2022"
"0065J00000AwcEa";"";"17/03/2022";"WDFT";"MAD - Spain";"Spain";"Paid Deposit";"";"0";"Male";"22/03/2022"
"0065J00000Aws5e";"Technical Interview";"30/03/2022";"DAPT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"26/07/2022"
"0065J00000Bm1He";"Technical Interview";"16/08/2022";"WDPT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"Female";"17/10/2022"
"0065J00000Ax0j2";"";"7/04/2022";"DAFT";"RMTEU - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Female";"12/05/2022"
"0065J000009FWQf";"";"9/03/2022";"DAFT";"MAD - Spain";"Spain";"Paid Deposit";"Organic Search";"1";"Male";"10/03/2022"
"0065J00000DPjb7";"Personal Interview";"7/06/2023";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"14/06/2023"
"0065J00000CdCEx";"Technical Interview";"31/01/2023";"DAPT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"9/02/2023"
"0065J000009Ekem";"Personal Interview";"4/02/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"";"4/03/2022"
"0065J00000CAL4B";"Technical Interview";"18/07/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"21/07/2022"
"0065J000009FD36";"Personal Interview";"23/02/2022";"DAFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"";"1/03/2022"
"0065J00000Blp3t";"Personal Interview";"30/07/2022";"UXFT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"";"24/08/2022"
"0065J00000Cc9R1";"Student Agreement";"28/11/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"Female";"9/12/2022"
"0065J00000BtlmO";"Student Agreement";"19/07/2022";"DAFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"26/07/2022"
